amfi_code,scheme_name,fund_house,cagr_3yr_pct,sharpe_ratio,alpha,beta,max_drawdown_pct,expense_ratio_pct,rank_3yr,rank_sharpe,rank_alpha,rank_expense,rank_maxdd,score,score_100,final_rank
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,18.42,0.4046,16.2539,0.0419,-19.83,1.41,21.0,22.0,21.0,22.0,27.0,22.0,53.4,17
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,20.81,-0.0471,8.2328,0.0259,-21.75,0.75,25.0,13.0,13.0,33.0,31.0,21.400000000000002,51.1,18
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,20.0,0.3932,15.1364,-0.0014,-11.65,0.89,24.0,21.0,18.0,28.0,10.0,21.25,50.5,19
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,14.74,0.6407,20.873,-0.0264,-15.27,1.52,17.0,26.0,27.0,14.5,19.0,21.075,49.9,20
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,25.55,0.3846,16.2113,0.0167,-21.54,1.64,28.0,19.0,20.0,1.5,30.0,20.375,47.1,21
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,13.97,0.5166,17.7033,-0.0403,-13.9,1.42,16.0,24.0,24.0,21.0,14.0,20.15,46.3,22
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,19.66,0.5198,17.0488,-0.0195,-10.86,1.57,23.0,25.0,22.0,7.0,7.0,19.299999999999997,43.0,23
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,11.24,0.1348,11.9891,0.0091,-21.12,0.78,15.0,15.0,15.0,31.0,29.0,18.799999999999997,41.1,24
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,8.01,0.2923,17.5007,0.1035,-23.34,1.53,14.0,18.0,23.0,12.5,32.0,18.375,39.4,25
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,18.04,0.2397,13.1732,-0.0041,-14.84,1.54,20.0,16.0,17.0,10.5,16.0,16.575,32.5,26
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,17.26,0.2551,13.0429,0.0364,-17.57,1.59,19.0,17.0,16.0,6.0,24.0,16.45,32.0,27
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,7.75,-0.0582,7.8044,0.0181,-24.0,1.56,13.0,12.0,12.0,8.0,33.0,13.8,21.7,28
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,-1.34,-0.1362,4.8824,0.062,-52.57,0.72,3.0,10.0,5.0,35.5,40.0,13.725000000000001,21.4,29
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,-4.15,0.0526,10.8971,-0.0653,-35.45,1.53,2.0,14.0,14.0,12.5,38.0,12.575000000000001,17.0,30
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,7.39,-3.6502,6.7462,-0.0004,-0.1,0.74,12.0,3.0,10.0,34.0,1.0,11.549999999999999,13.0,31
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,6.69,-4.0003,6.4557,-0.0004,-0.12,0.6,11.0,2.0,9.0,38.0,2.0,11.5,12.9,32
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,4.06,-0.8506,5.0748,0.0013,-8.32,0.55,8.0,5.0,6.0,40.0,6.0,11.45,12.7,33
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,5.84,-0.7431,5.6209,-0.0064,-4.33,0.77,9.0,6.0,7.0,32.0,5.0,10.899999999999999,10.5,34
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,-11.7,-0.1517,4.8016,-0.067,-51.68,1.38,1.0,9.0,4.0,24.0,39.0,10.85,10.3,35
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,3.92,-1.0399,4.2818,0.0012,-4.31,0.56,7.0,4.0,3.0,39.0,4.0,9.950000000000001,6.9,36
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,6.31,-4.6504,6.0861,0.0003,-0.16,0.79,10.0,1.0,8.0,30.0,3.0,9.65,5.7,37
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,-0.77,-0.2949,2.8969,-0.0421,-28.0,1.51,4.0,8.0,1.0,16.5,35.0,9.375,4.6,38
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,1.29,-0.321,3.7476,-0.0583,-24.73,1.55,6.0,7.0,2.0,9.0,34.0,8.7,2.0,39
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,0.53,-0.131,6.8995,0.0097,-14.4,1.64,5.0,11.0,11.0,1.5,15.0,8.175,0.0,40
